Date,btc_market_price,btc_total_bitcoins,btc_trade_volume,btc_avg_block_size,btc_median_confirmation_time,btc_hash_rate,btc_transaction_fees,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_output_volume,btc_estimated_transaction_volume,target_t7
2016-07-04,676.3294375,15733275.0,33361880.2076,0.739326496689,7.63333333333,1601825.83565,55.14588726,12.1221699989,403350.0,213900.0,2599568.9501,241008.688854,647.9837
2016-07-05,666.4855875,15736900.0,31161665.028,0.789159441379,8.51666666667,1538177.12695,55.87364447,11.4306932607,383808.0,214959.0,2054743.90303,293248.269555,672.7653125
2016-07-06,673.786825,15740400.0,27360174.4583,0.797548,9.56666666667,1485136.53636,55.67845334,11.198786426,373956.0,214691.0,2039637.0431,271525.304892,657.4524875
2016-07-07,636.3588625,15743825.0,93994828.7133,0.822317427536,8.75,1463920.30013,56.79864603,10.2859321945,364414.0,216812.0,2848551.12252,331850.073271,658.8316125
2016-07-08,659.5552375,15747450.0,46643049.3765,0.779844965517,9.2,1538177.12695,57.25884524,11.5675157197,363919.0,210701.0,2290691.9419,290689.62191,664.57145
2016-07-09,651.8649125,15750587.5,78574448.686,0.658053181208,7.68333333333,1580609.59941,47.40040469,11.1484452074,355380.0,185405.0,1891222.92487,216545.87263,662.15335
2016-07-10,648.0949,15752537.5,28357316.102,0.585813685897,6.8,1654866.42623,38.56114004,7.94651572369,325550.0,162608.0,1522989.688,158229.326202,675.45905
2016-07-11,647.9837,15754325.0,26402272.4818,0.793286692308,7.96666666667,1516960.89071,57.33521701,5.49832610863,395742.0,218089.0,2224457.95195,256591.771888,673.2056375
2016-07-12,672.7653125,15756112.5,48343367.1349,0.775825874126,9.26666666667,1516960.89071,51.17140866,5.69135763561,379937.0,219034.0,2314128.38521,285684.829309,672.8432
2016-07-13,657.4524875,15757725.0,53026862.7723,0.818662353846,10.7333333333,1379055.35519,53.55856344,5.06315998661,367252.0,218093.0,2266429.11055,285567.983528,665.643125
